# Constructed from biom file
#OTU ID	P1	P2	P3	M1	M2	M3
037fca6f67561d3ffc6157996b318612	25.0	0.0	70.0	0.0	0.0	0.0
038545bdacb8053d3f6240ccd86848bd	0.0	0.0	0.0	0.0	0.0	17.0
038c3b5d50bc337c613e37fe45380cd1	0.0	0.0	0.0	22.0	36.0	32.0
038d26a804b454b83d0f6adf1bb8efb9	0.0	0.0	0.0	0.0	20.0	0.0
03bb2aff134374154e7c738a8bf372ce	0.0	0.0	0.0	0.0	0.0	21.0
03ea49ad81440286f3ddb285b017de95	0.0	0.0	0.0	0.0	0.0	8.0
03ec2d477f63b618663cc72b5667129f	0.0	0.0	0.0	125.0	0.0	20.0
040940ffd60939eb9a0f77f999780c90	0.0	0.0	0.0	19.0	0.0	0.0
040b1ab5b026b8b7c77744cb29c6ca7b	0.0	0.0	0.0	0.0	27.0	0.0
041ce9f3c29a4c19eb21ad8e64b10197	0.0	0.0	0.0	0.0	5.0	0.0
042356a8febc16a9c600aa12953a2cb5	0.0	0.0	0.0	0.0	15.0	28.0
0423cc051d197ec30b607eaf16ab1d42	0.0	0.0	0.0	8.0	0.0	0.0
042a34008cf5c124003540e4a0af5bfa	37.0	0.0	0.0	0.0	0.0	0.0
043f442881b334575302de070082a429	0.0	0.0	0.0	14.0	0.0	0.0
044fa4294c161436547495ca164a8cea	0.0	0.0	0.0	0.0	0.0	18.0
045933ae231365012a7a4e2692ad9e74	0.0	0.0	0.0	5.0	0.0	0.0
045d523663988c3a83295b90dbf5eead	0.0	0.0	0.0	0.0	5.0	0.0
0468e1b85683e28e8b801226bd2afaf8	0.0	0.0	0.0	90.0	48.0	66.0
046b64ee9b5bd646cc01f7a2fb693de2	0.0	0.0	0.0	33.0	54.0	61.0
04777c2dde09647cd6bd36ccd200b856	0.0	8.0	0.0	0.0	0.0	0.0
047f16f3b08dae386d4ec5a89981693b	0.0	0.0	0.0	20.0	33.0	22.0
048885f629d4e04b83d67b4c97ab3880	0.0	0.0	0.0	37.0	0.0	0.0
048a795a4aec9680231882731d093c5d	0.0	0.0	0.0	45.0	0.0	0.0
0491937bcc1f0e64203048b3a383bacd	0.0	0.0	0.0	0.0	0.0	9.0
049fd42ecc012118d91837a32e21c787	0.0	0.0	0.0	0.0	11.0	0.0
04a75f1199d1bc6b58d19dd8aeb24520	0.0	0.0	0.0	0.0	9.0	8.0
04b3d49d420a647131e9f130592dd0d5	0.0	0.0	0.0	0.0	0.0	51.0
04bb131062efd87042484911d42e8804	0.0	0.0	0.0	0.0	0.0	4.0
04c0c66a5c8a811813c72ce8e8218a5d	0.0	0.0	0.0	62.0	36.0	44.0
04c326d6666b3b2d55572049c0b9e8ac	0.0	0.0	0.0	4.0	0.0	0.0
04c5957714575d00e8132521448fa7e8	0.0	0.0	2.0	0.0	0.0	0.0
04dbc4b09ab6e76e42ad87387365eb56	0.0	0.0	0.0	24.0	29.0	0.0
04e8ddef228c33604a1f2d2a88968381	0.0	0.0	0.0	0.0	0.0	5.0
04ebc4c12bd4a662451f560ece14fd04	0.0	16.0	0.0	0.0	0.0	0.0
04f37f5453a027eda81787db0c416659	0.0	0.0	0.0	0.0	9.0	11.0
04fa6f631e4be7a031c89953987426ee	0.0	0.0	0.0	0.0	11.0	0.0
050fb7e239553873da4d1e6e4dde7fee	0.0	0.0	65.0	0.0	0.0	0.0
051e129d8c32d9a68185c8515f859e05	0.0	0.0	0.0	17.0	0.0	0.0
053ce39472a9d6549d722efebf1dd0fd	0.0	184.0	0.0	0.0	0.0	0.0
0551f45a9b4d25795e004e6c1e059a81	0.0	0.0	0.0	0.0	4.0	0.0
0555280973030494eb39c9a1fa37b6d0	0.0	0.0	0.0	17.0	11.0	12.0
056d1a8b8582b0b38ff8235d766d7bda	0.0	0.0	0.0	0.0	0.0	10.0
0577cb80e070768ac2ccba4b8d1d4d1f	0.0	0.0	159.0	0.0	0.0	0.0
05787157f7cbfc4f5e77192c82d8bec0	0.0	0.0	0.0	0.0	8.0	0.0
058b962fb7ab76b537ee710e8be5163f	0.0	0.0	108.0	0.0	0.0	0.0
058e25b30637fd63b2f8b975aea51a27	0.0	0.0	0.0	16.0	10.0	0.0
05a86374b502a13fbbb44e6ab1fb1c07	0.0	0.0	0.0	0.0	39.0	0.0
05b61741f81fa651010cab24f1be5f63	0.0	0.0	0.0	61.0	51.0	41.0
05bbde4af0797632e5527572ca40d579	0.0	0.0	0.0	0.0	0.0	21.0
05bcedd62f6071ef8335d97cc5938b8e	0.0	0.0	0.0	0.0	11.0	0.0
05bd4fbbd8d04ee65bffb0632afcf31c	0.0	0.0	0.0	24.0	30.0	23.0
05c04680d80a9986e32ebdb16f94a5ac	0.0	0.0	0.0	2.0	0.0	0.0
05c6ffe5abb0340b3335882dfba83757	0.0	0.0	0.0	0.0	30.0	0.0
05c851ebbd91617e30d49b0e5fc042dd	4.0	0.0	0.0	0.0	0.0	0.0
05c9b65ba6707880410c7255f6a0004e	0.0	0.0	0.0	0.0	0.0	3.0
05cbb92e196058e8c099d96ff457b26a	0.0	0.0	0.0	120.0	94.0	122.0
05cf7655d6032e401987c67229f0d678	0.0	0.0	9.0	0.0	0.0	0.0
05d2e8ed7eec1387355fd251e255abaf	0.0	0.0	0.0	3.0	0.0	0.0
05d971dbbabc8c27722edf09bd59016e	0.0	0.0	0.0	0.0	0.0	11.0
05e4559d8f8942f6cb57f5a6f97ed38c	0.0	0.0	0.0	0.0	37.0	0.0
05e5b08e1faba46438269d2a5909578a	0.0	0.0	0.0	0.0	26.0	0.0
05e6035f1b44a64025ad600b7546fe68	0.0	0.0	0.0	14.0	16.0	0.0
05ec81177eec981008c7129b7fb77424	0.0	0.0	0.0	0.0	0.0	38.0
05fe13d056d2f6da01a62c7587f943dc	0.0	0.0	446.0	0.0	0.0	0.0
0606ebe9b0ee90d87e0d06e189abdc3d	0.0	0.0	49.0	0.0	0.0	0.0
060ad96fc28c7ca21eb296818b526557	0.0	0.0	9.0	0.0	0.0	0.0
061ab1d586d9123b376ddef4525f4524	0.0	0.0	0.0	21.0	15.0	25.0
061ad7bb0e696a8ef50f1db2faad252a	0.0	0.0	37.0	0.0	0.0	0.0
062e4faf3eebfa43d34dd00de7e50c99	0.0	111.0	0.0	0.0	0.0	0.0
064122535155d5e9c909b153ed3fdeaa	0.0	110.0	0.0	0.0	0.0	0.0
0652dc8061251fb8f09535e7f9bdda8e	0.0	0.0	0.0	62.0	46.0	46.0
06772718ba11414fa3091d734674ee32	0.0	0.0	0.0	19.0	0.0	0.0
0680161c41ec5f5a966883d542d7b9ec	0.0	0.0	0.0	0.0	4.0	0.0
06830211cbfa407a51c56be05fa94c43	0.0	0.0	0.0	0.0	12.0	19.0
068a267292193477b88c3a5e92f5f838	0.0	0.0	0.0	19.0	0.0	0.0
068d22245f1db8a5ccd9863153f26fed	0.0	0.0	0.0	9.0	0.0	0.0
0698768bc74b0c91ca1c9939572e7557	0.0	6.0	0.0	0.0	0.0	0.0
0698cc19588fe9e7b597fa509b384049	0.0	0.0	0.0	0.0	24.0	0.0
06a1b9774b7df37b3ac6fd41492a472a	0.0	3.0	0.0	0.0	0.0	0.0
06b78dde21da7edf0b6f7b9832435ad3	4.0	0.0	0.0	0.0	0.0	0.0
06c67d40409c0af8a3ac12cd80c9c340	0.0	0.0	0.0	253.0	73.0	257.0
06c7e1a6d2977162b43b790d50337f48	0.0	0.0	0.0	0.0	26.0	0.0
06cf4564dfc449837e4e34ebd7bd7485	0.0	0.0	0.0	181.0	134.0	287.0
06d2cd6b586fb62b34d1774824d1c96b	0.0	0.0	0.0	0.0	0.0	6.0
06d80ed875606b637e3c4591d440cd7c	0.0	0.0	0.0	207.0	168.0	216.0
06fac800ded50a0238e33567995c59ac	0.0	8.0	0.0	0.0	0.0	0.0
07025f2ca4e7bbf3d107c9c293652296	3.0	0.0	0.0	0.0	0.0	0.0
070d3114ba88111aab9721610f815dcd	0.0	0.0	0.0	32.0	0.0	0.0
072b5191beedca2d7a9a5716ad6d28f0	0.0	0.0	0.0	29.0	55.0	32.0
0740e13e766b60fb35681cf3405890c3	0.0	0.0	0.0	0.0	21.0	12.0
0746704d755358189eb5087afc00cc20	0.0	0.0	0.0	0.0	0.0	9.0
075696ffa86c475f14a1e961ca78f823	0.0	106.0	0.0	0.0	0.0	0.0
076ec34d007827e1ace66ccfb98172de	0.0	0.0	0.0	0.0	43.0	0.0
07726f9bdc2ad3602f3cdf64ecdcc63a	0.0	0.0	0.0	5.0	0.0	0.0
077b810e4e445f1b8949f97acd701e3d	0.0	0.0	21.0	0.0	0.0	0.0
077c721d3e522e25b70d2704b8752ce6	0.0	0.0	0.0	47.0	64.0	64.0
077dead996192d9e44b53196116c074b	0.0	0.0	0.0	0.0	0.0	22.0
077e2089086bc7e83e3d6066e2583308	0.0	204.0	0.0	0.0	0.0	0.0
0782005f6c1100d9004d33e05a3652a8	39.0	0.0	0.0	0.0	0.0	0.0
07891632520ec9fc0777f5e7a1e104c0	0.0	0.0	0.0	0.0	0.0	13.0
078f3c357cd258134fa421d9b4f67be8	0.0	0.0	0.0	0.0	0.0	13.0
07c057a0f632a581c0fa57de99ce86ad	0.0	0.0	0.0	3.0	0.0	0.0
07c127f9b8177c30843a4ffda90b658e	0.0	0.0	28.0	0.0	0.0	0.0
07ccd02cea786100d9e4168211ce6376	0.0	0.0	0.0	0.0	0.0	22.0
07cdbc82514af52935a53575bab422da	0.0	0.0	0.0	80.0	79.0	75.0
07d0bf9b4dcfda758569922ccef30064	0.0	0.0	0.0	0.0	47.0	0.0
07d7309d08ab72156f310aa322d0a3e2	0.0	0.0	0.0	8.0	10.0	15.0
07f0b25935d2f97d4e32873a5c33dac9	0.0	0.0	0.0	0.0	0.0	14.0
07f2b593e9fc8ce977832b18cc082be1	0.0	0.0	0.0	0.0	0.0	14.0
07f8e64607f6d01b95bb8b20f7a998f5	15.0	0.0	0.0	0.0	0.0	0.0
07fe23ed117844aadf8f837b5f61edd7	0.0	0.0	32.0	0.0	0.0	0.0
